MS,Mh,Man,MMS,T,Cn,Ct,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1412.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1409.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1410.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1411.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1413.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1377.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1378.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1393.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,DOKKER,M1,1388.0,108.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,66.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,DOKKER,M1,1347.0,140.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,DOKKER,M1,1287.0,140.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,DOKKER,M1,1250.0,140.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,DOKKER,M1,1285.0,140.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,DOKKER,M1,1306.0,140.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
